wn,wp,vdd,temp,cl_ff,tech_node,corner,delay_ps,power_mw,freq_ghz,source
3.24,0.271,1.27,-3.17,147.558,0.5,SS,0.0125,991.7932,40133.8076,physics
3.002,0.304,0.762,-1.61,120.802,0.5,TT,0.009,407.248,55607.4192,physics
3.614,3.551,1.675,34.12,56.36,28.0,TT,0.106,89.8718,4717.2251,physics
3.527,1.8,0.935,117.94,67.982,14.0,SF,0.1506,22.2229,3320.021,physics
0.592,4.26,2.19,93.18,146.217,0.5,SS,0.0015,25165.1827,340636.0567,physics
4.869,1.986,2.046,96.85,124.085,2.0,FS,0.0044,6450.5357,114032.4469,physics
1.058,0.487,2.352,87.56,197.059,5.0,SS,0.1449,380.8012,3449.6486,physics
1.975,2.349,2.836,-13.16,71.699,3.0,MC,0.0012,26808.3493,423707.4064,physics
4.691,3.293,2.206,-11.76,146.096,7.0,SF,0.0123,3133.8042,40510.5845,physics
1.972,4.949,2.292,51.9,137.238,28.0,TT,0.1124,346.8703,4449.7047,physics
4.13,4.054,1.623,-29.08,182.714,0.3,MC,0.0002,115529.8646,2238816.5942,physics
1.656,3.329,1.608,110.9,92.312,3.0,TT,0.0049,2651.026,102175.3886,physics
1.324,2.873,1.236,56.46,179.667,1.0,FF,0.0014,10223.5157,358960.8998,physics
1.19,4.988,1.927,-25.0,10.376,14.0,TT,0.0054,695.6532,92142.9263,physics
3.182,3.992,1.682,-29.52,76.942,0.7,FS,0.0003,43984.4977,1756680.1014,physics
1.347,2.833,3.139,72.25,23.796,0.5,FF,0.0,378413.7504,12578600.0675,physics
3.871,1.8,1.322,-13.9,1.646,3.0,FS,0.0008,1126.0821,597462.7436,physics
3.838,2.612,0.798,63.17,168.492,0.5,FS,0.0024,2399.0568,210600.3499,physics
1.091,1.963,0.952,117.33,184.564,28.0,FS,1.7658,4.8626,283.1528,physics
1.702,0.244,3.101,104.99,166.501,3.0,TT,0.0425,1917.4488,11754.3891,physics
0.403,4.408,3.151,-25.87,97.712,14.0,FS,0.0495,1057.3657,10097.6837,physics
3.857,0.773,1.831,50.72,53.746,0.3,SF,0.0004,24481.1471,1193038.9085,physics
4.826,4.655,2.615,73.83,142.877,1.0,MC,0.0005,108929.1973,1007205.5978,physics
3.291,2.275,1.949,-20.03,45.715,2.0,SS,0.0013,7907.5252,380675.5426,physics
2.991,1.266,1.117,-28.29,126.589,5.0,SS,0.0581,143.2647,8604.3489,physics
4.538,4.319,0.698,-0.73,134.127,5.0,FS,0.0253,142.9432,19770.6212,physics
0.766,4.687,2.099,37.99,157.139,1.0,TT,0.0011,32928.1803,450430.8259,physics
0.58,3.346,1.492,27.83,172.904,28.0,MC,0.6982,28.5731,716.1576,physics
3.309,3.284,0.67,80.16,160.318,14.0,TT,0.2641,14.5277,1893.2029,physics
1.055,2.751,0.893,-9.72,93.063,14.0,SF,0.0739,53.5248,6766.402,physics
4.063,4.301,0.774,67.6,108.577,28.0,SS,0.7321,4.9937,682.9499,physics
4.641,4.266,0.966,40.13,43.536,1.0,SS,0.0009,3034.1601,561679.1112,physics
0.923,0.16,1.593,112.88,157.241,3.0,SF,0.1385,145.6944,3611.2041,physics
3.519,3.693,2.693,69.21,97.848,5.0,FF,0.0033,11864.2609,149442.587,physics
1.182,0.434,2.56,-29.94,63.407,28.0,FS,0.3773,57.3268,1325.1371,physics
2.447,4.609,1.987,-30.61,102.058,7.0,SS,0.0129,1732.6146,38688.7826,physics
3.024,3.425,1.159,-20.22,178.167,5.0,FS,0.0218,580.0731,22901.7342,physics
3.021,3.154,1.674,56.31,105.034,3.0,TT,0.0044,3660.2765,113596.1015,physics
3.388,1.674,1.244,-18.41,129.455,0.7,FF,0.0009,11777.9936,553062.349,physics
4.654,4.688,0.526,62.49,113.036,14.0,SS,0.2795,6.3402,1789.0268,physics
2.744,2.604,0.871,17.59,14.689,5.0,FF,0.0032,278.3463,157421.6243,physics
1.511,2.275,2.021,9.92,196.787,0.5,SS,0.0011,38298.305,462158.4006,physics
3.379,2.84,3.109,-22.91,175.747,3.0,SS,0.0035,25568.4026,142393.4939,physics
4.462,3.751,0.935,6.49,42.915,2.0,TT,0.0014,1765.2402,359611.421,physics
3.475,4.287,1.915,1.44,181.724,28.0,SS,0.2877,123.8049,1738.1196,physics
3.215,4.172,0.623,15.04,27.033,3.0,TT,0.0027,283.2402,187421.9875,physics
3.737,2.826,1.698,-38.4,15.974,7.0,FS,0.0043,881.5944,115168.0947,physics
0.296,1.941,2.047,30.91,9.324,2.0,SS,0.001,2606.2673,481089.9107,physics
4.507,1.169,1.199,-23.04,156.243,1.0,FS,0.0038,3134.8039,131845.1537,physics
3.777,4.64,1.163,-13.19,160.178,7.0,SF,0.0221,530.8324,22588.8786,physics
0.241,3.722,1.43,113.58,160.645,5.0,FF,0.0821,208.0744,6091.8509,physics
0.897,3.551,1.571,-33.61,94.667,5.0,SF,0.0073,1722.2307,68524.1196,physics
1.826,4.13,2.94,-3.22,132.347,1.0,FF,0.0002,355830.0935,2900206.6179,physics
