wn,wp,vdd,temp,cl_ff,tech_node,corner,delay_ps,power_mw,freq_ghz,source
0.242,1.484,0.784,81.52,135.663,14.0,FS,1.0829,3.9292,461.7389,physics
3.002,0.304,0.706,-1.61,120.802,14.0,FS,1.6358,1.9216,305.654,physics
3.614,3.551,0.731,34.12,56.36,5.0,SS,0.0226,80.1208,22080.2074,physics
3.527,1.8,0.743,117.94,67.982,7.0,SS,0.1485,14.2346,3367.6807,physics
0.592,4.26,0.702,93.18,146.217,1.0,FS,0.0075,503.2888,66301.2603,physics
4.869,1.986,0.981,96.85,124.085,14.0,FF,0.1676,38.8041,2983.8932,physics
1.058,0.487,0.634,87.56,197.059,0.3,TT,0.0099,404.3824,50415.5981,physics
1.975,2.349,1.15,-13.16,71.699,14.0,MC,0.0697,74.5988,7170.4208,physics
3.545,3.465,0.539,64.77,107.294,3.0,TT,0.0144,119.9813,34824.7072,physics
2.376,1.459,1.205,73.55,44.703,7.0,FF,0.0243,151.9957,20572.4457,physics
1.238,0.306,1.115,4.18,42.986,28.0,FS,1.3893,2.0346,359.8942,physics
1.158,2.571,0.842,66.07,29.431,2.0,TT,0.0019,661.3586,263220.0421,physics
3.756,2.764,0.911,30.69,117.123,5.0,FF,0.0167,316.4266,29873.4343,physics
4.987,0.821,0.771,84.7,172.359,5.0,TT,0.1827,29.5604,2736.5505,physics
3.985,2.197,0.688,22.97,199.228,7.0,FS,0.1681,29.4486,2974.0411,physics
4.859,4.325,0.506,78.92,136.66,3.0,FS,0.0202,95.8684,24721.6999,physics
3.871,1.8,0.661,-13.9,1.646,3.0,MC,0.0017,142.3629,302132.6333,physics
4.863,3.846,0.779,-22.44,125.435,3.0,MC,0.0059,712.1508,84143.3063,physics
3.092,0.891,0.678,49.0,155.947,0.5,FS,0.007,535.3864,71732.2815,physics
3.043,2.52,0.912,19.89,197.079,28.0,FF,0.5539,15.4706,902.7316,physics
0.403,4.408,1.021,-25.87,97.712,5.0,SS,0.0572,96.0903,8740.2013,physics
3.857,0.773,0.554,50.72,53.746,0.5,FS,0.0037,251.3856,133819.8155,physics
4.826,4.655,0.778,73.83,142.877,1.0,SF,0.0016,3033.3749,316872.1801,physics
2.258,2.66,0.461,-2.92,68.279,2.0,FS,0.0062,129.9635,80249.4086,physics
1.243,1.218,0.381,64.13,46.559,0.5,SS,0.0043,86.1935,117522.3608,physics
0.466,1.304,0.734,-4.65,27.33,2.0,FS,0.0031,259.6491,159677.3558,physics
2.427,3.955,0.697,-8.58,20.289,0.3,SF,0.0001,8307.5437,5593287.2811,physics
2.187,2.415,0.765,71.11,196.849,2.0,SS,0.0224,266.5995,22301.9571,physics
2.085,1.796,1.662,1.03,38.852,28.0,SF,0.0998,62.407,5008.8394,physics
2.179,1.501,0.8,112.34,89.183,7.0,FS,0.1429,21.2962,3498.4974,physics
0.367,4.997,1.152,119.88,185.347,14.0,TT,0.6536,19.6945,764.9964,physics
2.103,2.485,1.169,108.9,33.763,7.0,SS,0.0355,79.2703,14094.3821,physics
1.414,3.953,0.628,29.8,191.506,1.0,FS,0.0035,1142.5737,144743.6415,physics
0.875,1.589,0.767,55.56,108.897,0.7,MC,0.0028,1194.2715,179863.5675,physics
0.399,2.983,0.651,100.7,32.329,2.0,FS,0.0085,94.4638,59000.3401,physics
4.275,0.482,0.691,102.2,81.351,14.0,FS,1.2091,1.7577,413.5409,physics
2.945,0.343,0.545,68.47,113.48,5.0,FF,0.2501,7.0521,1998.8747,physics
1.117,3.624,0.631,25.3,134.666,3.0,FF,0.009,315.6808,55714.3252,physics
1.663,3.797,0.381,35.62,199.692,0.7,SS,0.0068,223.1201,73722.9621,physics
2.744,2.604,0.729,17.59,14.689,14.0,TT,0.0312,19.8778,16048.2896,physics
1.511,2.275,0.672,9.92,196.787,2.0,MC,0.015,306.0379,33402.6239,physics
0.158,4.113,0.479,69.46,187.847,0.5,TT,0.0215,103.8706,23248.2466,physics
0.683,0.669,0.804,4.94,121.361,3.0,MC,0.0329,121.3232,15192.3673,physics
1.114,3.226,0.532,40.61,181.162,2.0,SS,0.02,133.0974,24993.6172,physics
3.215,4.172,0.676,15.04,27.033,14.0,FF,0.0229,38.8025,21807.6111,physics
3.737,2.826,0.907,-38.4,15.974,7.0,MC,0.0084,130.2328,59627.2327,physics
2.782,4.198,1.0,-15.56,26.362,7.0,FF,0.0048,390.2964,103775.268,physics
4.507,4.011,0.83,108.32,42.805,2.0,TT,0.0023,828.7379,212800.8,physics
1.846,2.865,1.175,120.68,150.146,14.0,TT,0.1875,58.0868,2667.2687,physics
4.884,4.082,1.179,-35.91,147.576,7.0,FF,0.016,703.6847,31244.3136,physics
4.035,4.341,0.805,4.02,157.688,1.0,SS,0.0026,2147.0559,193546.3916,physics
4.376,4.314,0.511,94.74,92.6,1.0,FF,0.0015,919.9742,330493.6937,physics
1.208,3.351,0.719,5.97,14.815,5.0,FF,0.0027,214.2012,186967.0124,physics
3.25,2.088,0.891,48.48,187.908,2.0,SS,0.0193,403.2892,25850.9746,physics
0.991,4.818,0.646,-22.11,87.478,3.0,MC,0.0084,241.0933,59658.2777,physics
2.25,4.924,0.458,108.42,38.826,2.0,SS,0.0053,99.9634,94579.4449,physics
0.128,4.639,0.669,78.71,148.648,1.0,MC,0.0251,139.4299,19927.9288,physics
1.897,0.489,0.865,14.48,63.469,5.0,SS,0.1248,20.185,4007.6694,physics
2.595,3.384,0.679,75.04,111.328,3.0,TT,0.0125,223.9649,40159.5559,physics
3.365,1.989,0.774,-11.29,114.252,1.0,SF,0.0019,1946.6066,264433.5408,physics
4.189,1.624,0.44,89.65,121.726,0.5,FF,0.0031,408.9835,161146.2212,physics
2.276,3.427,0.57,90.97,192.007,0.7,MC,0.0039,838.6669,128297.5466,physics
3.335,1.526,1.048,62.18,19.584,7.0,TT,0.0207,72.9095,24212.4651,physics
1.216,1.116,0.513,0.4,95.552,3.0,SS,0.0488,26.7604,10239.1959,physics
2.142,3.204,0.434,74.9,99.381,0.7,TT,0.0026,397.4736,195398.9997,physics
3.322,0.177,1.101,87.06,22.211,7.0,SF,0.1603,10.5332,3120.1205,physics
0.978,4.796,0.785,-31.71,50.59,5.0,SS,0.0168,109.8537,29763.8652,physics
0.771,2.404,0.578,52.22,64.142,0.7,SF,0.0014,837.0369,361757.1964,physics
4.097,4.476,0.533,109.63,89.737,0.3,TT,0.0007,2020.1361,686702.5815,physics
2.316,3.796,0.711,5.76,155.757,0.7,SF,0.0012,3451.865,412323.7979,physics
1.46,0.526,0.657,4.83,64.622,5.0,FS,0.1039,14.0843,4810.9481,physics
0.795,1.272,1.066,76.56,13.782,14.0,SF,0.0353,27.5236,14153.661,physics
2.768,2.167,0.503,29.32,181.063,2.0,FS,0.0206,116.1387,24285.3104,physics
4.301,3.863,1.18,-39.03,71.0,28.0,SF,0.1027,57.0479,4868.4666,physics
2.747,3.713,0.8,108.14,98.158,1.0,FF,0.0012,2879.5298,414419.7779,physics
2.49,2.036,0.734,91.69,145.112,1.0,SF,0.004,1033.3241,125847.4171,physics
4.906,2.74,1.194,57.66,132.937,7.0,SS,0.0896,115.589,5581.7193,physics
0.782,2.389,0.425,22.55,43.12,1.0,FF,0.0012,372.7901,427928.0159,physics
3.835,1.989,0.776,97.27,51.202,2.0,SS,0.0089,205.3365,56281.2187,physics
0.215,2.766,0.78,17.74,130.379,0.7,MC,0.0081,508.0842,61776.8112,physics
3.801,4.756,0.999,-36.64,31.324,28.0,TT,0.0641,35.0982,7795.6498,physics
3.387,2.885,0.444,75.41,153.613,0.7,TT,0.0042,382.3732,118473.1826,physics
3.083,3.777,0.399,95.18,192.979,0.3,SS,0.0037,443.2102,136446.5875,physics
0.245,1.663,0.641,118.1,79.934,0.3,MC,0.0042,402.5784,118035.1464,physics
0.491,3.499,0.845,-23.19,154.724,5.0,MC,0.0596,96.473,8384.0226,physics
4.051,4.012,0.593,-33.22,107.016,0.3,MC,0.0004,4863.6412,1152493.6049,physics
0.457,3.291,0.406,29.31,98.55,2.0,SF,0.0164,52.4176,30404.4035,physics
3.222,4.169,0.754,31.86,147.025,2.0,MC,0.0045,1002.952,110998.6544,physics
3.126,4.61,0.926,36.7,165.321,3.0,FS,0.01,758.5566,49758.3506,physics
1.693,1.341,1.014,6.02,90.71,3.0,SF,0.01,492.3911,50093.4154,physics
3.098,1.988,0.362,100.41,37.186,0.3,TT,0.001,291.5643,490271.0033,physics
4.013,1.801,0.84,75.7,55.977,2.0,SS,0.0089,258.0366,55963.4803,physics
4.747,0.565,0.66,40.62,151.875,0.5,MC,0.0098,355.4504,50861.8614,physics
3.272,2.53,0.691,-24.65,45.098,0.7,MC,0.0006,2061.1804,792833.3764,physics
1.614,2.971,0.76,47.6,85.675,5.0,MC,0.0261,102.8831,19139.8262,physics
1.734,3.559,0.466,1.48,25.011,0.5,TT,0.0003,1072.0991,1471961.0431,physics
0.703,2.749,0.781,-9.45,44.061,2.0,SF,0.0021,705.0632,232936.3552,physics
3.656,4.887,0.789,6.69,21.005,3.0,TT,0.0015,704.3256,325384.5264,physics
1.23,1.02,0.508,48.13,55.588,3.0,SS,0.0409,18.6594,12210.9021,physics
1.546,4.729,0.624,84.21,21.415,0.5,SS,0.0005,1233.9582,1005200.3219,physics
1.508,2.472,0.497,119.31,51.243,0.3,SF,0.0007,1041.9893,731648.2094,physics
4.132,2.093,0.694,63.86,11.668,14.0,TT,0.0473,11.0455,10568.7655,physics
4.752,0.563,0.457,52.08,83.819,0.3,FS,0.0057,168.2753,87215.2621,physics
1.221,2.684,0.544,33.05,172.173,0.3,SF,0.0012,2152.832,407622.1355,physics
2.895,0.442,1.028,-23.63,152.785,3.0,MC,0.0505,165.5484,9904.5705,physics
1.411,0.544,0.632,51.08,32.15,5.0,SF,0.0471,14.96,10610.0888,physics
3.484,2.429,0.364,7.54,57.261,0.7,SF,0.0015,293.5663,331738.621,physics
3.474,4.631,1.123,63.13,132.575,14.0,TT,0.0884,103.8878,5656.3674,physics
0.68,1.24,0.474,3.83,29.305,1.0,SS,0.0029,125.3341,172179.6625,physics
3.988,3.036,1.145,112.0,88.392,7.0,SF,0.0356,183.7949,14059.8544,physics
3.535,4.722,0.775,41.48,17.008,3.0,SS,0.0029,316.4919,173828.999,physics
3.705,3.078,0.413,-2.23,135.185,1.0,FS,0.0042,299.221,120059.4167,physics
4.76,4.998,0.639,4.47,9.006,0.3,TT,0.0001,6292.9675,6231952.4842,physics
2.653,2.295,0.47,124.5,87.741,0.7,SF,0.003,354.1112,167481.5422,physics
2.414,2.13,0.843,-22.74,33.004,14.0,SF,0.0381,37.6178,13126.5066,physics
1.527,4.734,0.7,50.77,91.51,0.7,FF,0.0007,3737.9628,750842.4561,physics
1.698,4.855,0.722,44.91,197.636,3.0,MC,0.0147,368.9595,33996.3704,physics
2.374,0.413,0.573,62.73,100.2,0.5,SF,0.0084,204.5101,59497.1268,physics
1.113,2.814,1.728,32.29,139.952,28.0,SS,0.4582,47.6617,1091.1805,physics
4.869,3.103,1.039,-13.87,110.617,28.0,FS,0.3608,18.4677,1385.6173,physics
0.575,4.962,0.856,36.14,24.376,1.0,TT,0.0009,1388.4067,569042.6418,physics
4.671,1.566,0.653,28.56,97.017,0.7,SF,0.0023,980.5318,214772.0359,physics
2.349,0.852,0.605,58.9,149.512,5.0,TT,0.1707,16.5827,2929.1322,physics
1.468,3.982,0.899,114.15,102.04,14.0,SS,0.2065,21.6909,2421.7637,physics
3.663,4.212,0.819,68.89,173.187,3.0,SF,0.0104,600.8906,48194.9998,physics
2.484,1.762,0.678,22.24,186.638,0.5,TT,0.003,1465.4549,164769.4639,physics
2.91,1.283,0.927,-32.8,149.196,5.0,MC,0.0402,166.5703,12429.2598,physics
2.004,3.369,0.81,121.83,99.57,1.0,SS,0.0036,997.8808,140529.7237,physics
2.571,3.012,1.172,104.24,88.621,7.0,FS,0.0483,138.7148,10345.2155,physics
0.195,0.849,0.725,120.04,15.891,0.7,FF,0.0012,396.555,429312.2738,physics
3.162,2.078,0.44,14.21,135.197,2.0,FS,0.0173,80.501,28947.9682,physics
4.776,3.19,0.844,40.51,108.662,1.0,FS,0.002,2124.5366,245475.3717,physics
